survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size,age_std,fare_std
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,1,-0.5276685572919841,-0.5002397510893574
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,1,0.577093875175718,0.788946607905507
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,0,-0.2514779491750586,-0.48664993466069395
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,1,0.3699509190880238,0.4228611129909654
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,0.3699509190880238,-0.4841333019887193
0,3,male,,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,0,,-0.47591297302898106
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,0,1.68185630764342,0.39794644953841574
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4,-1.9086215978766117,-0.22190017756895475
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,2,-0.18243029714582723,-0.4220570338487224
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,1,-1.0800497735258352,-0.040787184044554156
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,2,-1.770526293818149,-0.3099823210880695
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,0,1.9580469157603455,-0.11167166653646252
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,-0.6657638613504469,-0.4841333019887193
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,6,0.6461415272049493,-0.016542951535818605
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,0,-1.0800497735258352,-0.4880753554061005
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,0,1.7509039596726514,-0.32407546405112786
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,5,-1.9086215978766117,-0.05982903349378355
1,2,male,,0,0,13.0,S,Second,man,True,Southampton,yes,True,0,,-0.38447464817852084
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,1,0.09376031097109828,-0.28380934129953256
1,3,female,,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,0,,-0.5007430776237524
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,0,0.3699509190880238,-0.12274485029315124
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,0,0.30090326705879245,-0.38447464817852084
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,0,-1.0110021214966038,-0.48455206966533587
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,0,-0.11338264511659585,0.06851923277692655
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,4,-1.4943356857012233,-0.22190017756895475
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,6,0.577093875175718,-0.014277982131041355
0,3,male,,0,0,7.225,C,Third,man,True,Cherbourg,no,True,0,,-0.5007430776237524
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,5,-0.7348115133796783,4.648790695770894
1,3,female,,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0,,-0.4875720288717055
0,3,male,,0,0,7.8958,S,Third,man,True,Southampton,no,True,0,,-0.48723782005286725
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,0,0.7151891792341807,-0.08809987827767862
1,1,female,,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,1,,2.3037078131670836
1,3,female,,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0,,-0.49017322040145855
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,0,2.510428131994197,-0.434807301618015
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,1,-0.11338264511659585,1.008145313634504
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,1,0.8532844832926435,0.40071474547758795
1,3,male,,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,0,,-0.500658518765974
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,0,-0.5967162093212155,-0.4841333019887193
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,2,-0.8038591654089097,-0.28380934129953256
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,1,-1.0800497735258352,-0.41987460999558585
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,1,0.7151891792341807,-0.4554436895282076
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,1,-0.18243029714582723,-0.22341015717213955
0,3,male,,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,0,,-0.48723782005286725
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,3,-1.8395739458473803,0.1909121394926757
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,0,-0.7348115133796783,-0.4875720288717055
0,3,male,,0,0,8.05,S,Third,man,True,Southampton,no,True,0,,-0.4841333019887193
0,3,male,,1,0,15.5,Q,Third,man,True,Queenstown,no,False,1,,-0.33414199473902667
1,3,female,,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,0,,-0.49017322040145855
0,3,male,,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,2,,-0.20973578188569775
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,1,-0.8038591654089097,-0.28783595357469205
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,5,-1.563383337730455,0.15282642728807924
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,0,-0.5967162093212155,-0.48916656733266867
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,1,1.336618047497263,0.8985892468519636
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,1,-0.04433499308736447,-0.12274485029315124
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,1,2.441380479964965,0.6016265915589479
1,1,male,,0,0,35.5,S,First,man,True,Southampton,yes,True,0,,0.06851923277692655
